fixationEventType,fixationX,fixationY,fixationTimestamp
Begin,5.3478078183957,106.307136627223,4666661.47224641
End,NaN,NaN,4666688.71986052
Begin,-77.3031702676635,61.4539626730618,4666688.74120801
Data,-38.9633869416835,85.5378996481496,4666722.79497825
Begin,-39.2619586723051,67.2663236625285,4666734.12721383
Data,-26.1492093123839,49.1245972230168,4666767.00810343
Data,-21.3303586458684,48.2831473574379,4666798.1150983
Data,-5.65902005979285,46.3158381144146,4666812.43475159
End,NaN,NaN,4666824.75020352
Begin,14.2563547671983,57.9303572520327,4666824.77360366
Data,21.3344158367073,41.8386087283276,4666857.27475417
Begin,108.183199113247,37.9043787839386,4666869.78397567
End,108.183199113247,37.9043787839386,4666887.52661766
Begin,641.309192479291,389.950613314183,4666915.0217806
End,NaN,NaN,4666959.96318378
Begin,1135.27808804781,610.931744400504,4666977.45417165
End,NaN,NaN,4667004.87133413
Begin,1180.97824746876,635.120265782095,4667022.7506822
End,NaN,NaN,4667050.2138239
Begin,1176.84635567027,654.162795186179,4667050.23517139
End,NaN,NaN,4667095.2369223
Begin,1262.83479842216,693.737461196028,4667095.26073297
End,1262.83479842216,693.737461196028,4667112.01646385
Begin,1213.55534172178,794.063378383164,4667139.42541575
Data,1217.88259864116,797.006215453666,4667171.31323631
End,NaN,NaN,4667183.60446705
Begin,1252.75616581166,806.764441403029,4667183.62581454
End,NaN,NaN,4667216.24560786
Begin,1218.3214270078,744.226861021118,4667318.04154797
Data,1231.71648433103,741.294100498676,4667351.36745074
Begin,1258.30586879621,752.448111967363,4667363.55153347
End,NaN,NaN,4667408.27740905
Begin,1269.07088200343,777.105050729983,4667408.29998814
Data,1267.21474983899,778.390881375987,4667441.49123747
End,NaN,NaN,4667453.57186696
Begin,1274.88921610354,779.332191522059,4667453.59444604
Data,1271.7788862703,781.308914711334,4667486.42237743
End,NaN,NaN,4667498.42008011
Begin,1284.33826952611,790.548565300998,4667498.44183813
End,NaN,NaN,4667544.36276291
Begin,1275.28495286583,786.60538062485,4667544.38575252
Data,1278.85312255227,790.370552894811,4667576.34911036
End,NaN,NaN,4667588.42522404
Begin,1278.19147486941,798.056683412555,4667606.29841417
End,NaN,NaN,4667635.20004861
Begin,1284.12585384205,805.943245846651,4667651.48818724
Data,1283.99749342645,807.897835351552,4667697.67513464
Data,1280.11511509668,805.388436661095,4667711.66513334
End,NaN,NaN,4667723.43950838
Begin,1265.94931085849,808.596207661094,4667741.67765857
End,NaN,NaN,4667768.55784945
Begin,1264.13137668173,823.760293979609,4667768.58083906
Data,1259.36919232771,819.809745709913,4667801.72118283
Begin,1238.47670776489,820.012020251284,4667813.68275898
End,NaN,NaN,4667858.40658193
Begin,1208.52691334915,798.366862266444,4667858.42751889
Data,1215.27690173703,795.728637538418,4667891.72345306
End,NaN,NaN,4667903.28517421
Begin,1238.23802179143,806.886355056721,4667903.30405853
Data,1231.89203776953,805.823304530109,4667936.64063504
Begin,1215.93052500765,791.822065867017,4667948.85550743
