fixationEventType,fixationX,fixationY,fixationTimestamp
Begin,39.3854718543216,271.669924954294,43829084.3331749
Data,59.2513915530042,264.23792403456,43829100.418903
Data,68.1008178644574,252.397297714541,43829109.9140108
Data,44.02650092103,243.102272428702,43829129.0663849
Begin,44.3882490526136,235.694885516863,43829129.0918376
Data,52.8789730215819,243.702001161442,43829174.2823761
Begin,130.68135491038,273.678998634747,43829174.3090604
Data,117.418039082104,274.83656736176,43829199.6916112
Data,79.1233994278493,269.388284589879,43829216.9711555
Begin,88.5414139202595,249.421222653133,43829216.9974293
Data,69.7689837130815,242.316645666345,43829244.7072646
Data,32.7705214663599,227.409209120271,43829262.1411675
End,NaN,NaN,43829277.8664519
Begin,62.7672437521128,196.822202483025,43829277.9083258
End,62.7672437521128,196.822202483025,43829315.166227
Data,1384.39782406834,657.519484589354,43829337.5030687
Data,1398.46921632593,659.196418723679,43829353.3609537
Data,1417.74281110069,660.222926833767,43829367.5882205
Data,1429.17157083103,663.179665041484,43829380.8556722
Begin,1449.67311358354,673.776035210443,43829380.8823566
Data,1445.63534321153,681.968547647668,43829413.4528463
Begin,1439.17663189746,700.790845521,43829413.4799412
Data,1443.05307928281,704.680814149006,43829458.2825305
Data,1449.62587818625,701.89823740158,43829469.7629528
Data,1453.9300769863,693.311393236985,43829488.2322079
End,1455.29011233051,688.75687134088,43829488.2593028
Data,1336.55270525058,889.263701249194,43829515.7285686
Begin,1313.3523284562,869.61974641392,43829515.7519687
Data,1302.27811605025,853.230946179037,43829547.2797167
Data,1294.14825341003,841.520433764712,43829560.7031692
Data,1296.2493853698,846.914441280937,43829578.4901264
Data,1295.0643224961,848.777472337206,43829606.8116488
Data,1298.54514628769,844.35823267049,43829623.2881999
Begin,1307.99608037174,838.457036217713,43829623.3181684
Data,1305.13054335957,837.569699349456,43829649.8456824
Data,1296.04323091875,831.137084573512,43829668.7082236
Begin,1265.43431159986,850.123592167433,43829698.1164143
Data,1269.68877075916,864.123217470275,43829730.9188525
Data,1282.62257575394,878.74659186538,43829765.4487936
End,1295.92496568736,877.711524068331,43829765.483278
Data,1368.97559403654,792.748686451424,43829787.7306245
Data,1363.825344168,798.92972428046,43829802.3577458
Data,1355.30820971276,814.333166265598,43829818.9554027
Data,1344.90208724126,821.716989404093,43829834.9019618
Data,1335.67061397288,826.652691763356,43829853.2111109
Data,1319.6877669285,836.013493244086,43829869.1913333
Data,1308.55696301161,845.585047557624,43829882.7342495
Begin,1324.29140299657,843.677657225789,43829882.7773549
Data,1323.97747137324,839.094624481984,43829922.9812068
Data,1322.58957101111,836.771757860554,43829923.0029648
Data,1325.9136587153,835.070195269737,43829939.3202309
Data,1333.90358759445,827.173842012502,43829954.3566489
